City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
633,Saint Anthony,US,41.11,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
635,Wakkanai,JP,26.35,broken clouds,45.4094,141.6739,Hyōsetsu-sō
636,Zhashkiv,UA,34.27,overcast clouds,49.2454,30.1102,Боровичок
638,Quedlinburg,DE,40.23,overcast clouds,51.7833,11.15,Romantik Hotel am Brühl
639,Mujiayingzi,CN,21.29,clear sky,42.1167,118.7833,Jinjiang Hotel
640,Tarana,IN,50.88,clear sky,23.3333,76.0333,दिल्ली दरबार होटल
645,Develi,TR,16.95,scattered clouds,38.3906,35.4922,DEVELİ TEACHER AND ASO
647,Indianola,US,43.29,light rain,41.3581,-93.5574,Quality Inn Indianola
649,Pasinler,TR,5.7,scattered clouds,39.9803,41.6764,Kır Evi (Dağa Yakın)
652,Jijiga,ET,56.75,clear sky,9.35,42.8,RAMAAS HOTEL
654,Surt,LY,58.03,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
655,Lac Du Bonnet,CA,21.11,light snow,50.2536,-96.0612,Casey's Inn Motor Hotel
659,Portland,US,50.34,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
664,Dataganj,IN,47.64,clear sky,28.0333,79.4,Raj Complex
665,Tukrah,LY,52.39,clear sky,32.5341,20.5791,Lagrota restaurant
