City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Gimli,CA,50.6336,-96.9907,-8.88,70,61,21.85,broken clouds
240,Aitape,PG,-3.1374,142.3475,77.76,89,100,7.05,overcast clouds
241,Raga,SS,8.4596,25.678,86.45,15,20,5.48,few clouds
242,Mogadishu,SO,2.0371,45.3438,77.32,76,43,21.03,scattered clouds
243,Panaba,MX,21.2833,-88.2667,77.5,63,54,7.92,broken clouds
244,Kidal,ML,18.4411,1.4078,84.09,6,1,4.63,clear sky
245,Faanui,PF,-16.4833,-151.75,81.14,73,16,14.32,light rain
246,Vila,PT,42.0304,-8.1588,53.74,69,94,3.91,overcast clouds
247,Witney,GB,51.7836,-1.4854,46.04,64,75,6.91,broken clouds
248,Flin Flon,CA,54.7682,-101.865,-25.76,62,0,5.75,clear sky
249,Lukovetskiy,RU,64.2956,41.9211,26.58,97,100,4.81,light snow
250,Uyemskiy,RU,64.4743,40.8524,26.65,92,100,4.47,light snow
251,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,2.3,scattered clouds
252,Luganville,VU,-15.5333,167.1667,78.44,82,95,5.39,overcast clouds
253,Midland,US,31.9974,-102.0779,60.06,21,0,16.11,clear sky
254,Sioux Lookout,CA,50.1001,-91.917,-5.42,71,100,11.5,overcast clouds
255,Santa Rosa,PH,14.3122,121.1114,79.11,75,87,13.06,overcast clouds
256,Ferrol,ES,43.4832,-8.2369,61.72,74,90,14.03,overcast clouds
257,Cabo San Lucas,MX,22.8909,-109.9124,69.15,59,0,5.75,clear sky
258,Pevek,RU,69.7008,170.3133,-23.73,98,100,6.51,overcast clouds
259,Mitzic,GA,0.7821,11.549,90.5,35,63,4.61,broken clouds
260,Hambantota,LK,6.1241,81.1185,77.76,86,97,12.37,overcast clouds
261,Kerema,PG,-7.9631,145.7785,75.83,82,100,4.29,overcast clouds
262,Beyneu,KZ,45.3167,55.2,35.28,77,100,12.8,overcast clouds
263,Hobart,AU,-42.8794,147.3294,52.05,73,9,9.22,clear sky
264,Provost,CA,52.3501,-110.2683,27.82,92,100,8.66,light snow
265,Hualmay,PE,-11.0964,-77.6139,74.61,70,71,10.31,broken clouds
266,Tres Passos,BR,-27.4556,-53.9319,93.34,29,3,4.32,clear sky
267,Kizukuri,JP,40.8061,140.3861,25.47,83,67,3.85,broken clouds
268,Itupiranga,BR,-5.1347,-49.3267,86.32,71,87,2.62,overcast clouds
269,Gorontalo,ID,0.5412,123.0595,74.7,96,80,3.04,broken clouds
270,Constitucion,CL,-35.3333,-72.4167,69.64,37,0,11.68,clear sky
271,Rock Sound,BS,24.9,-76.2,75.49,80,20,13.33,few clouds
272,Sisimiut,GL,66.9395,-53.6735,22.26,94,100,13.47,snow
273,Ambilobe,MG,-13.2,49.05,74.19,95,99,2.84,moderate rain
274,Longyearbyen,SJ,78.2186,15.6401,19.24,93,75,4.61,light snow
275,Hajnowka,PL,52.7433,23.5812,38.01,82,100,1.01,overcast clouds
276,Vostok,RU,46.4856,135.8833,15.26,97,100,3.04,overcast clouds
277,Soe,ID,-9.8607,124.284,66.69,94,100,1.9,overcast clouds
278,Santos Reyes Nopala,MX,16.1092,-97.1561,79.88,45,2,3.09,clear sky
279,Beidao,CN,34.5686,105.8933,32.45,90,100,3.49,overcast clouds
280,Nairn,GB,57.5809,-3.8797,40.93,75,20,12.66,few clouds
281,Hirara,JP,24.8,125.2833,67.66,76,97,15.99,overcast clouds
282,Ossora,RU,59.2353,163.0719,-8.0,93,50,4.25,scattered clouds
283,Atocha,BO,-20.9333,-66.2333,59.0,24,4,13.56,clear sky
284,Fairbanks,US,64.8378,-147.7164,-5.84,75,0,9.22,clear sky
285,Yarada,IN,17.65,83.2667,77.32,83,40,3.44,mist
286,Bubaque,GW,11.2833,-15.8333,80.28,58,20,11.68,few clouds
287,Marystown,CA,47.1666,-55.1483,39.85,100,99,7.0,overcast clouds
288,Cheyenne,US,41.14,-104.8203,32.85,63,100,25.01,overcast clouds
289,Ketchikan,US,55.3422,-131.6461,34.27,86,100,5.75,overcast clouds
290,Diamantina,BR,-18.2494,-43.6003,73.08,73,59,3.78,broken clouds
291,Taoudenni,ML,22.6783,-3.9836,76.8,13,0,15.59,clear sky
292,Del Gallego,PH,13.9223,122.5954,74.82,91,62,6.17,broken clouds
293,Zhigansk,RU,66.7697,123.3711,-24.16,99,92,7.58,overcast clouds
294,Klaksvik,FO,62.2266,-6.589,36.52,69,100,10.13,overcast clouds
295,Elhovo,BG,42.1667,26.5667,50.41,77,0,5.35,clear sky
296,Lensk,RU,60.7253,114.9278,-6.75,97,100,5.61,overcast clouds
297,Ilulissat,GL,69.2167,-51.1,23.02,50,75,14.97,broken clouds
298,Ziarat,PK,30.3823,67.7282,40.03,20,0,4.94,clear sky
299,Gat,IL,31.61,34.7642,56.08,100,7,7.56,clear sky
300,Itarema,BR,-2.9248,-39.9167,88.5,52,31,13.06,scattered clouds
301,Margate,GB,51.3813,1.3862,44.96,65,32,3.0,scattered clouds
302,Vila Velha,BR,-20.3297,-40.2925,76.95,87,75,12.66,broken clouds
303,Altenholz,DE,54.4,10.1333,40.03,56,20,10.36,few clouds
304,Baruun-Urt,MN,46.6806,113.2792,-4.77,98,95,6.38,overcast clouds
305,Shingu,JP,33.7333,135.9833,36.91,69,27,7.27,scattered clouds
306,Talnakh,RU,69.4865,88.3972,-9.74,87,100,10.16,overcast clouds
307,Pimenteiras,BR,-6.2453,-41.4192,85.19,64,54,2.19,broken clouds
308,Shubarkuduk,KZ,49.1447,56.4872,22.71,93,99,13.38,overcast clouds
309,Aasiaat,GL,68.7098,-52.8699,13.55,86,100,12.01,overcast clouds
310,Sambava,MG,-14.2667,50.1667,78.28,83,25,6.62,light rain
311,Ancud,CL,-41.8697,-73.8203,63.23,52,0,5.97,clear sky
312,Bengkulu,ID,-3.8004,102.2655,75.25,89,85,4.68,overcast clouds
313,La Romana,DO,18.4273,-68.9728,86.36,100,40,9.22,scattered clouds
314,Chuy,UY,-33.6971,-53.4616,83.88,54,4,10.98,clear sky
315,Nexo,DK,55.0607,15.1306,39.29,71,58,21.52,broken clouds
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,82,100,4.43,overcast clouds
317,Poum,NC,-20.2333,164.0167,80.4,80,100,11.54,overcast clouds
318,Rocha,UY,-34.4833,-54.3333,86.81,42,1,4.56,clear sky
319,Racine,US,42.7495,-88.0751,40.71,84,100,8.05,overcast clouds
320,Teya,RU,60.3778,92.6267,-16.91,100,24,1.88,few clouds
321,Porterville,US,36.0652,-119.0168,72.75,76,0,4.61,clear sky
322,Demyansk,RU,57.643,32.466,31.59,92,99,9.17,overcast clouds
323,Faridpur,BD,23.6,89.8333,68.0,55,0,8.05,clear sky
324,Tabou,CI,4.423,-7.3528,84.92,64,48,8.84,scattered clouds
